"","S1_bulk1","S1_bulk2","S1_bulk3","S1_bulk4","S1_bulk5","S1_rAo1","S1_rAo2","S1_rAo3","S1_rAo4","S1_rAo5","S1_rAo6","S2_bulk1","S2_bulk2","S2_bulk3","S2_bulk4","S2_bulk5","S2_rVo1","S2_rVo2","S2_rVo3","S2_rVo4","S2_rVo5","S2_rVo6","S2_rVo7","S1_bulk6","S1_bulk7","S1_bulk8","S1_bulk9","S1_bulk10","S1_rAo7","S1_rAo8","S1_rAo9","S1_rAo10","S2_bulk6","S2_bulk7","S2_bulk8","S2_bulk9","S2_bulk10","S2_rVo8","S2_rVo9","S2_rVo10"
"OTU_146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,19,16,0,0,0
"OTU_147",0,0,0,0,0,0,0,0,0,0,0,6,12,4,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,4,0,0,0,0
"OTU_148",0,25,78,58,126,9,219,16,0,0,0,117,82,70,111,76,138,44,62,9,121,50,59,49,0,0,0,42,64,0,98,0,97,85,55,124,95,82,39,170
"OTU_149",0,0,43,5,9,0,14,0,0,0,0,9,14,10,0,68,10,96,26,0,0,35,40,0,0,0,0,0,0,0,0,0,51,57,23,0,121,175,47,72
"OTU_150",132,40,0,0,0,32,58,0,0,0,0,0,16,135,54,22,14,0,0,0,0,0,0,26,12,64,482,69,31,0,0,0,45,7,0,116,20,0,0,0
"OTU_151",0,0,16,24,38,34,36,0,0,0,0,10,9,0,0,81,70,115,0,16,0,64,73,0,13,0,0,6,19,0,12,0,54,30,0,13,27,206,30,279
"OTU_154",0,17,44,0,34,0,52,3,0,21,3,3,47,0,25,125,44,8,105,15,89,19,59,0,7,0,0,0,17,17,84,0,88,110,92,0,155,47,47,46
"OTU_155",0,0,0,0,0,0,0,258,572,109,347,0,20,0,38,0,0,0,125,0,0,0,0,17,1730,231,0,51,146,2819,17,1057,0,0,0,0,0,0,0,0
"OTU_156",28,78,91,0,49,7,59,18,42,0,0,34,24,11,57,62,62,46,48,0,40,26,27,0,0,12,0,157,19,5,54,0,74,64,23,26,82,89,70,28
"OTU_157",0,43,45,19,120,24,311,17,40,0,6,40,74,44,83,47,56,73,63,19,91,16,35,19,16,73,44,87,74,167,67,0,58,86,18,97,127,46,66,35
"OTU_158",0,0,0,0,0,0,0,0,0,0,0,91,61,52,77,85,137,199,46,0,31,125,202,0,0,0,0,0,0,0,0,0,63,129,116,56,63,183,116,355
"OTU_159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,72,0,0,0,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,17,86
